Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
garden centre,EUR,74000,Low,8,0.55,2.36,,,,,,33100,33100,40500,90500,135000,165000,110000,90500,74000,74000,60500,49500
landscape design,EUR,60500,High,71,1.83,6.54,,,,,,27100,40500,40500,74000,90500,74000,60500,60500,60500,60500,49500,40500
plant nursery,EUR,90500,Low,18,0.64,2.63,,,,,,40500,49500,60500,110000,135000,135000,110000,90500,90500,90500,74000,60500
garden tools,EUR,40500,High,100,0.35,1.16,,,,,,27100,22200,22200,40500,60500,60500,49500,40500,33100,33100,27100,27100
landscape,EUR,301000,Low,10,1.61,5.11,,,,,,165000,201000,201000,301000,368000,368000,301000,301000,368000,368000,368000,301000
wheelbarrow,EUR,135000,High,100,0.24,0.44,,,,,,90500,74000,74000,165000,201000,201000,165000,135000,135000,135000,110000,90500
riding lawn mower,EUR,135000,High,100,0.41,3.6,,,,,,40500,49500,90500,165000,301000,301000,246000,201000,165000,135000,74000,60500
plant nursery near me,EUR,90500,Low,16,0.97,3.6,,,,,,33100,49500,60500,135000,165000,201000,135000,110000,90500,90500,74000,60500
leaf blower,EUR,90500,High,100,0.29,1.92,,,,,,110000,40500,33100,60500,90500,90500,74000,60500,60500,90500,135000,201000
landscaping near me,EUR,110000,Medium,54,1.88,6.99,,,,,,33100,49500,60500,165000,246000,201000,135000,135000,110000,90500,74000,49500
garden centre near me,EUR,60500,Low,7,1.21,5.09,,,,,,27100,22200,27100,60500,110000,165000,110000,74000,60500,49500,40500,33100
stihl leaf blower,EUR,33100,High,100,0.39,1.84,,,,,,40500,14800,12100,27100,40500,33100,27100,18100,22200,33100,60500,74000
landscape architecture,EUR,27100,Low,20,1.8,7.09,,,,,,18100,27100,27100,33100,33100,33100,27100,27100,33100,33100,33100,27100
plant store near me,EUR,33100,Medium,63,1.36,8.99,,,,,,18100,22200,22200,33100,33100,40500,33100,33100,40500,40500,33100,27100
landscaper,EUR,27100,Low,13,1.7,6.03,,,,,,14800,22200,18100,27100,40500,33100,27100,27100,27100,33100,33100,27100
landscape edging,EUR,33100,High,100,0.39,3.64,,,,,,5400,6600,9900,33100,60500,60500,49500,40500,33100,27100,18100,9900
garden edging,EUR,18100,High,100,0.27,1.33,,,,,,3600,5400,8100,22200,40500,40500,33100,22200,18100,14800,9900,6600
