Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
free dating sites,EUR,110000,High,94,1.37,2.53,,,,,,110000,110000,110000,110000,110000,110000,135000,135000,135000,135000,110000,135000
interracial dating,EUR,33100,Medium,63,0.4,2.03,,,,,,40500,33100,33100,40500,33100,22200,33100,40500,33100,22200,27100,27100
speed dating,EUR,18100,Low,24,0.5,2.39,,,,,,14800,22200,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100
women seeking men,EUR,12100,Medium,47,0.4,1.36,,,,,,14800,14800,12100,14800,12100,14800,12100,12100,12100,9900,9900,9900
matrimony,EUR,14800,Low,9,0.85,2.51,,,,,,14800,14800,14800,14800,14800,14800,12100,14800,14800,18100,18100,14800
interracial dating central,EUR,27100,Low,9,0.02,0.07,,,,,,33100,33100,27100,33100,27100,27100,27100,27100,27100,27100,27100,27100
christian dating for free,EUR,22200,Low,24,1.29,3.25,,,,,,22200,22200,18100,22200,22200,22200,22200,22200,22200,18100,18100,18100
free dating websites,EUR,18100,High,90,1.42,2.95,,,,,,27100,27100,22200,27100,22200,18100,14800,14800,14800,14800,14800,12100
plenty of fish search free,EUR,12100,Low,15,0.46,1.73,,,,,,14800,18100,14800,18100,18100,18100,14800,9900,6600,5400,4400,3600
free online dating,EUR,9900,High,84,1.31,2.81,,,,,,14800,14800,12100,12100,12100,9900,8100,8100,8100,8100,6600,6600
interracial dating site,EUR,14800,Medium,66,0.75,2.52,,,,,,12100,27100,9900,8100,12100,22200,12100,9900,18100,18100,9900,9900
speed dating near me,EUR,12100,Low,33,0.72,2.43,,,,,,8100,9900,12100,12100,9900,9900,12100,12100,12100,12100,12100,9900
women looking for men,EUR,6600,Medium,64,0.42,1.8,,,,,,6600,6600,5400,6600,5400,6600,6600,6600,5400,5400,6600,5400
100 percent free dating sites,EUR,8100,High,89,0.85,1.91,,,,,,5400,5400,5400,5400,5400,8100,9900,9900,9900,8100,8100,8100
best free online dating sites,EUR,5400,High,84,1.05,2.58,,,,,,3600,6600,9900,5400,4400,5400,6600,4400,4400,5400,4400,4400
pof free dating site,EUR,6600,Low,17,0.52,1.97,,,,,,49500,18100,1300,1300,1000,1300,1600,1000,1300,1600,1900,1600
free online dating sites,EUR,6600,High,90,1.36,2.9,,,,,,6600,6600,4400,4400,5400,8100,8100,8100,8100,6600,8100,6600
free dating sites no sign up,EUR,4400,High,85,0.63,1.66,,,,,,5400,4400,4400,3600,3600,5400,5400,5400,5400,5400,5400,4400
interracial people meet,EUR,8100,Low,3,0.77,1.56,,,,,,8100,6600,6600,6600,6600,9900,9900,9900,9900,6600,6600,4400
best free dating sites,EUR,5400,High,73,1.04,2.71,,,,,,6600,8100,6600,8100,5400,4400,3600,4400,3600,3600,3600,3600
craigslist women seeking men,EUR,6600,Low,16,0.24,1.72,,,,,,12100,12100,9900,12100,8100,4400,3600,3600,3600,2900,2900,2900
best free dating site for serious relationships,EUR,2900,High,79,0.84,2.77,,,,,,1900,2400,1900,2900,2400,4400,2900,3600,3600,2400,2400,2400
flirty9,EUR,2400,Medium,36,0.55,1.12,,,,,,2900,2900,2900,4400,4400,2900,2900,3600,1300,880,590,480
interracial cupid,EUR,2900,Low,1,1.01,4.49,,,,,,2900,3600,3600,3600,2400,2400,2900,2900,2400,3600,2900,2900
reddy matrimony,EUR,1600,Low,4,0.32,0.69,,,,,,1600,1600,1600,1600,1600,1600,1900,1600,1600,1600,1600,1600
free dating sites for women,EUR,2900,High,91,1.3,2.85,,,,,,1900,2400,1900,3600,3600,3600,2900,3600,2400,2400,2400,1900
craigslist men seeking women,EUR,3600,Low,11,0.43,1.47,,,,,,5400,5400,4400,4400,3600,2900,2900,2900,2400,2400,2400,2400
singles events,EUR,2400,Medium,48,1,2.7,,,,,,2400,2400,2400,1900,1900,1900,2400,2400,2400,2400,2400,2400
brahmin matrimony,EUR,1000,Low,2,0.56,0.73,,,,,,1300,1300,1000,1300,1000,1000,1300,1000,1000,1000,1300,1300
free christian dating sites,EUR,2900,High,67,1.56,3.77,,,,,,2900,3600,2400,2400,2400,2900,2400,2900,2900,2900,2900,2900
speed date,EUR,1300,Medium,55,0.49,1.68,,,,,,1300,1600,1300,1300,1000,1000,1300,1000,1000,880,1000,1000
totally free dating sites,EUR,1900,High,87,0.76,1.93,,,,,,3600,3600,2900,3600,2400,1600,1300,1600,1600,1300,1300,1000
totally free online dating sites,EUR,1600,High,82,0.82,1.91,,,,,,1600,1600,1000,1000,1000,1300,1300,1600,1600,1600,2400,1900
