Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
bridal dresses,EUR,40500,High,100,0.58,1.8,,,,,,27100,49500,40500,40500,33100,33100,40500,49500,40500,40500,40500,33100
veil,EUR,49500,High,85,0.26,0.9,,,,,,49500,60500,49500,60500,49500,49500,49500,49500,49500,60500,60500,60500
wedding invitations,EUR,246000,High,100,2.03,5.24,,,,,,165000,301000,246000,246000,246000,246000,246000,246000,201000,201000,201000,165000
wedding planner,EUR,60500,High,100,1.48,3.94,,,,,,74000,90500,60500,60500,60500,60500,60500,74000,74000,60500,60500,60500
wedding cake,EUR,110000,High,100,0.56,2.44,,,,,,74000,110000,110000,110000,90500,90500,110000,135000,135000,135000,135000,110000
wedding guest dresses,EUR,201000,High,100,0.67,2.57,,,,,,60500,110000,135000,201000,201000,246000,201000,246000,301000,301000,201000,110000
bridal shops near me,EUR,60500,High,96,1.4,4.09,,,,,,40500,74000,74000,74000,60500,60500,60500,60500,60500,60500,60500,49500
lace wedding dress,EUR,49500,High,100,0.5,1.39,,,,,,33100,49500,40500,40500,33100,33100,40500,60500,60500,60500,49500,40500
wedding cake toppers,EUR,40500,High,100,0.33,1.1,,,,,,22200,49500,40500,49500,40500,40500,40500,49500,49500,49500,40500,27100
bridal gowns,EUR,33100,High,100,0.59,1.62,,,,,,27100,49500,40500,33100,22200,33100,40500,49500,40500,33100,33100,33100
wedding gowns,EUR,27100,High,100,0.54,1.75,,,,,,27100,33100,27100,27100,27100,27100,27100,33100,33100,33100,27100,27100
plus size mother of the bride dresses,EUR,49500,High,100,0.49,1.39,,,,,,22200,60500,60500,60500,49500,40500,49500,49500,49500,40500,33100,27100
cake toppers,EUR,22200,High,100,0.25,0.98,,,,,,14800,22200,22200,27100,22200,27100,22200,27100,27100,27100,22200,18100
wedding veil,EUR,33100,High,100,0.35,1.07,,,,,,22200,33100,33100,33100,27100,33100,33100,40500,40500,33100,33100,27100
bridal shower dresses,EUR,33100,High,100,0.65,2.55,,,,,,12100,40500,49500,49500,40500,40500,33100,33100,27100,22200,18100,12100
bridal stores near me,EUR,27100,High,96,1.35,3.74,,,,,,18100,27100,27100,33100,27100,27100,22200,27100,27100,27100,27100,22200
bridal boutique,EUR,27100,High,100,0.66,2.59,,,,,,18100,33100,27100,33100,27100,27100,27100,33100,33100,33100,27100,22200
wedding card,EUR,12100,High,100,1.45,3.57,,,,,,8100,8100,8100,9900,9900,12100,14800,18100,18100,18100,18100,12100
sexy wedding dress,EUR,18100,High,100,0.36,1.51,,,,,,8100,12100,9900,18100,27100,9900,12100,18100,40500,27100,33100,27100
cheap wedding invitations,EUR,22200,High,100,1.58,5.97,,,,,,14800,33100,27100,27100,22200,22200,22200,22200,18100,18100,18100,14800
long sleeve lace wedding dress,EUR,22200,High,100,0.49,1.54,,,,,,18100,27100,18100,14800,12100,12100,14800,22200,22200,22200,27100,22200
indian wedding dresses,EUR,14800,High,100,0.27,0.91,,,,,,12100,12100,12100,12100,9900,12100,12100,14800,18100,18100,18100,14800
kate middleton wedding dress,EUR,12100,High,100,0.72,2.86,,,,,,9900,9900,9900,9900,8100,12100,12100,14800,14800,14800,14800,14800
mother of the bride dresses tea length,EUR,18100,High,100,0.29,1.13,,,,,,12100,33100,22200,27100,22200,18100,18100,22200,22200,18100,14800,9900
davids bridal bridesmaid,EUR,14800,High,100,0.55,2.6,,,,,,22200,60500,40500,40500,5400,2900,2900,5400,3600,3600,3600,3600
wedding cakes near me,EUR,14800,Low,16,0.63,2.03,,,,,,8100,18100,14800,18100,14800,14800,14800,18100,14800,14800,12100,9900
purple bridesmaid dresses,EUR,12100,High,100,0.76,1.29,,,,,,9900,18100,14800,14800,12100,9900,12100,14800,14800,12100,12100,9900
bridal veil,EUR,14800,High,100,0.36,1.11,,,,,,9900,14800,12100,14800,14800,14800,14800,18100,18100,14800,14800,12100
davids bridal dresses,EUR,18100,High,100,0.36,1.8,,,,,,9900,22200,18100,33100,14800,12100,14800,27100,22200,14800,14800,18100
white bridesmaid dresses,EUR,9900,High,100,0.67,1.53,,,,,,6600,12100,9900,9900,9900,9900,9900,12100,12100,12100,9900,9900
macys mother of the bride dresses,EUR,18100,High,100,0.3,1.11,,,,,,8100,22200,22200,27100,22200,18100,18100,22200,18100,14800,12100,12100
bridal stores,EUR,12100,High,97,0.69,2.36,,,,,,12100,14800,14800,14800,12100,12100,12100,12100,12100,14800,12100,9900
bridesmaid dresses near me,EUR,12100,High,100,1.03,2.81,,,,,,8100,18100,12100,14800,9900,9900,9900,12100,12100,12100,9900,9900
mother of the bride dresses long,EUR,12100,High,100,0.34,1.21,,,,,,8100,22200,18100,18100,14800,12100,12100,12100,12100,9900,9900,8100
anthropologie wedding dresses,EUR,12100,High,100,0.05,0.57,,,,,,12100,18100,14800,12100,9900,9900,12100,12100,12100,12100,12100,9900
white bridal shower dress,EUR,14800,High,100,0.68,2.24,,,,,,6600,18100,18100,22200,22200,18100,14800,18100,14800,9900,8100,5400
rehearsal dinner invitations,EUR,12100,High,100,1.82,7.97,,,,,,3600,9900,12100,14800,14800,12100,12100,18100,18100,12100,9900,5400
amazon wedding dresses,EUR,12100,High,100,0.14,0.84,,,,,,6600,12100,9900,9900,12100,12100,9900,14800,14800,14800,14800,12100
davids bridal bridesmaid dresses,EUR,9900,High,100,0.85,2.8,,,,,,2400,5400,5400,12100,14800,12100,9900,12100,14800,12100,9900,9900
