Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
automatic cars,EUR,6600,Low,9,1.44,8.99,,,,,,4400,5400,5400,5400,5400,5400,6600,8100,8100,8100,8100,8100
automotive technician,EUR,6600,Low,33,2.47,17.15,,,,,,4400,6600,6600,6600,6600,6600,5400,6600,8100,8100,8100,6600
dealer,EUR,90500,Low,19,1.14,8.09,,,,,,74000,74000,90500,90500,74000,90500,74000,90500,90500,90500,90500,74000
motor car,EUR,6600,High,83,0.66,2.51,,,,,,5400,5400,5400,6600,6600,6600,6600,6600,8100,8100,8100,6600
cars for sale,EUR,823000,High,86,0.9,3.05,,,,,,673000,823000,1000000,1000000,823000,823000,823000,823000,823000,823000,823000,823000
used cars,EUR,673000,Medium,61,1.39,4.61,,,,,,673000,823000,673000,823000,673000,673000,673000,673000,673000,673000,673000,823000
used cars for sale,EUR,450000,High,93,1.28,3.91,,,,,,246000,301000,301000,368000,368000,450000,450000,550000,550000,550000,450000,450000
ford dealership,EUR,550000,Low,31,2.19,7.55,,,,,,450000,450000,450000,550000,550000,550000,550000,673000,673000,550000,673000,550000
car dealerships near me,EUR,550000,Medium,42,2.25,9.7,,,,,,368000,450000,550000,550000,450000,550000,550000,550000,550000,550000,450000,450000
car dealerships,EUR,450000,Low,15,1.82,8.71,,,,,,301000,368000,368000,450000,368000,368000,368000,450000,450000,450000,673000,673000
used cars near me,EUR,368000,High,81,1.71,5.4,,,,,,246000,368000,550000,550000,368000,368000,368000,368000,368000,368000,368000,301000
honda dealership,EUR,450000,Medium,36,1.53,6.47,,,,,,450000,368000,368000,450000,450000,450000,450000,550000,550000,450000,450000,368000
toyota dealership,EUR,450000,Medium,35,1.8,7.37,,,,,,368000,368000,368000,450000,368000,450000,450000,450000,550000,450000,450000,368000
cars for sale near me,EUR,246000,High,72,1.12,3.93,,,,,,135000,201000,301000,301000,246000,246000,246000,301000,301000,246000,246000,246000
ford dealership near me,EUR,368000,Medium,48,2.43,8.41,,,,,,301000,301000,301000,368000,368000,368000,368000,450000,450000,368000,368000,368000
dodge dealership,EUR,246000,Medium,43,3.32,9.19,,,,,,246000,246000,246000,301000,246000,301000,301000,301000,301000,301000,301000,201000
chevy dealership,EUR,246000,Medium,46,1.8,6.44,,,,,,201000,301000,246000,246000,246000,301000,301000,301000,301000,246000,246000,246000
cargurus used cars,EUR,165000,Medium,35,1.29,6.85,,,,,,450000,450000,368000,368000,110000,74000,74000,60500,60500,49500,60500,40500
nissan dealership,EUR,201000,Medium,42,2.48,7.19,,,,,,165000,201000,165000,201000,201000,201000,246000,246000,246000,246000,246000,201000
buy here pay here,EUR,165000,Medium,65,1.29,5.66,,,,,,135000,165000,201000,201000,165000,165000,165000,165000,165000,165000,165000,135000
dealerships near me,EUR,201000,Low,32,1.71,10.76,,,,,,135000,165000,201000,201000,165000,201000,201000,201000,246000,201000,201000,165000
jeep dealership,EUR,201000,Medium,42,3.15,7.01,,,,,,201000,201000,165000,201000,201000,201000,201000,246000,246000,246000,201000,165000
