Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
free energy,EUR,8100,Low,11,1.18,6.77,,,,,,8100,9900,9900,9900,8100,8100,5400,5400,5400,9900,12100,8100
solar battery charger,EUR,14800,High,100,0.33,1.51,,,,,,14800,12100,9900,12100,14800,14800,14800,18100,14800,14800,14800,14800
solar panel price,EUR,5400,High,100,1.85,7.72,,,,,,5400,5400,5400,6600,6600,6600,5400,6600,5400,5400,5400,5400
solar panels,EUR,201000,High,100,2.08,8.99,,,,,,165000,165000,165000,201000,201000,201000,165000,201000,201000,201000,201000,201000
sunpower,EUR,27100,Medium,37,4.5,12.5,,,,,,18100,27100,27100,33100,27100,27100,27100,27100,33100,27100,33100,27100
solar energy,EUR,33100,Low,31,3.04,17.45,,,,,,33100,40500,40500,40500,49500,40500,22200,18100,22200,33100,49500,49500
solar power,EUR,22200,High,90,2.89,17.27,,,,,,22200,22200,22200,27100,27100,27100,22200,22200,22200,22200,27100,27100
tesla solar roof,EUR,27100,Low,26,1.65,6.11,,,,,,22200,22200,18100,22200,22200,22200,27100,27100,27100,18100,49500,40500
solar panel cost,EUR,27100,High,100,1.79,8.53,,,,,,22200,27100,27100,33100,33100,33100,27100,33100,33100,33100,27100,22200
tesla solar panels,EUR,22200,High,92,2.53,5.81,,,,,,12100,14800,12100,14800,22200,33100,18100,22200,40500,27100,33100,22200
gibbs free energy,EUR,14800,Low,0,,,,,,,,12100,12100,14800,18100,22200,14800,8100,8100,8100,18100,22200,18100
solar panels for sale,EUR,18100,High,100,1.3,7.05,,,,,,14800,18100,18100,22200,18100,18100,18100,18100,18100,18100,18100,14800
solar charger,EUR,14800,High,100,0.31,1.65,,,,,,14800,9900,9900,12100,12100,14800,14800,18100,18100,12100,14800,12100
solar panels for home,EUR,18100,High,100,2.01,8.7,,,,,,12100,14800,18100,18100,18100,18100,18100,22200,22200,18100,18100,14800
solar cell,EUR,8100,High,100,1.16,6.56,,,,,,6600,8100,8100,9900,9900,9900,6600,8100,6600,8100,9900,8100
solar power system,EUR,9900,High,100,1.79,7.19,,,,,,6600,9900,8100,12100,9900,9900,9900,9900,8100,8100,8100,8100
solar panel installation,EUR,9900,Medium,61,3.53,16.92,,,,,,6600,8100,9900,9900,9900,12100,8100,12100,12100,9900,14800,12100
solar charge controller,EUR,6600,High,100,0.36,3.08,,,,,,5400,5400,5400,6600,6600,8100,8100,8100,6600,6600,6600,5400
portable solar panels,EUR,9900,High,100,0.4,3.11,,,,,,6600,8100,8100,8100,9900,9900,9900,12100,9900,9900,9900,6600
rv solar panels,EUR,14800,High,100,0.27,1.81,,,,,,8100,12100,12100,14800,14800,14800,14800,18100,14800,14800,12100,9900
best solar panels,EUR,8100,High,100,2.13,7.9,,,,,,5400,8100,8100,8100,8100,8100,6600,8100,8100,8100,8100,5400
sunpower solar panels,EUR,8100,High,100,2.99,11.72,,,,,,5400,6600,6600,9900,8100,6600,6600,8100,8100,8100,8100,6600
photovoltaic cell,EUR,5400,Medium,36,1.8,12.76,,,,,,5400,4400,6600,6600,8100,8100,2900,3600,2900,4400,6600,6600
flexible solar panels,EUR,6600,High,100,0.55,4.95,,,,,,5400,6600,8100,8100,8100,8100,8100,8100,8100,6600,6600,5400
delta g,EUR,5400,Low,0,,,,,,,,5400,4400,6600,6600,9900,6600,3600,2900,2900,6600,9900,6600
solar panel system,EUR,5400,High,100,1.99,7.97,,,,,,4400,6600,5400,6600,5400,5400,5400,6600,6600,6600,6600,5400
solar companies,EUR,6600,Medium,38,3.55,18.74,,,,,,5400,6600,6600,6600,8100,8100,6600,8100,8100,6600,9900,8100
solar powered fan,EUR,6600,High,100,0.21,4.14,,,,,,1900,2900,2400,3600,6600,9900,14800,18100,9900,6600,3600,1900
solar providers near me,EUR,6600,Medium,37,3.76,17,,,,,,4400,5400,5400,6600,6600,8100,6600,8100,8100,6600,8100,6600
100 watt solar panel,EUR,6600,High,100,0.26,4.95,,,,,,5400,5400,6600,6600,6600,8100,8100,8100,8100,6600,6600,5400
solar installers near me,EUR,6600,Medium,43,4.47,20.76,,,,,,2900,4400,4400,4400,6600,8100,6600,8100,8100,6600,8100,6600
solar installation,EUR,5400,Low,33,4.5,20.75,,,,,,4400,5400,5400,5400,5400,6600,4400,6600,6600,6600,8100,6600
off grid solar system,EUR,4400,High,100,0.65,3.97,,,,,,3600,4400,4400,4400,4400,3600,4400,4400,4400,4400,5400,4400
solar companies near me,EUR,6600,Low,29,5.37,22.03,,,,,,3600,4400,4400,5400,6600,6600,5400,6600,6600,6600,12100,9900
lg solar panels,EUR,4400,High,100,2.15,8.18,,,,,,2400,3600,3600,4400,4400,4400,4400,5400,5400,5400,5400,4400
diy solar panels,EUR,5400,High,100,0.49,2.99,,,,,,4400,5400,4400,5400,5400,5400,5400,6600,6600,6600,5400,4400
harbor freight solar panel,EUR,8100,High,100,0.6,7.46,,,,,,6600,6600,6600,8100,8100,9900,9900,9900,9900,8100,8100,6600
solar system for home,EUR,4400,High,100,1.65,8.9,,,,,,3600,4400,4400,5400,4400,4400,4400,5400,5400,5400,5400,4400
solar panel efficiency,EUR,4400,Medium,53,1.18,8.53,,,,,,3600,3600,4400,5400,5400,4400,4400,5400,4400,5400,5400,4400
portable solar charger,EUR,5400,High,100,0.21,1.23,,,,,,4400,3600,3600,5400,5400,5400,6600,8100,5400,4400,5400,4400
300 watt solar panel,EUR,5400,High,100,0.31,4.95,,,,,,3600,4400,4400,4400,5400,4400,5400,5400,5400,5400,5400,4400
small solar panels,EUR,4400,High,100,0.47,6.3,,,,,,3600,4400,3600,4400,5400,5400,4400,4400,4400,5400,5400,4400
solar panel battery,EUR,5400,High,100,1.29,7.03,,,,,,3600,4400,4400,5400,5400,5400,5400,6600,5400,5400,8100,5400
charge controller,EUR,2900,High,100,0.26,1.04,,,,,,2900,2900,2900,3600,3600,3600,2900,2900,2900,2900,2900,3600
solar array,EUR,3600,High,67,1.42,7.19,,,,,,1900,1900,2400,2400,2400,2400,1900,14800,2400,2900,2900,2400
tesla solar roof cost,EUR,4400,Medium,46,1.98,6.3,,,,,,3600,5400,3600,4400,4400,4400,4400,4400,5400,3600,5400,4400
solar panels for house,EUR,6600,High,100,1.69,8.09,,,,,,5400,6600,6600,6600,6600,6600,6600,8100,8100,9900,9900,8100
12v solar panel,EUR,3600,High,100,0.2,4.4,,,,,,2900,3600,3600,3600,3600,4400,4400,4400,4400,4400,3600,3600
solar panels for your home,EUR,3600,High,100,1.38,6.74,,,,,,2900,5400,3600,4400,4400,4400,3600,4400,3600,4400,3600,2900
camping solar panels,EUR,5400,High,100,0.4,3.04,,,,,,2900,3600,3600,5400,5400,6600,6600,8100,6600,5400,4400,3600
free energy generator,EUR,1900,High,100,0.13,3.27,,,,,,2400,2900,2400,2400,1900,1900,1600,1600,1600,1600,1900,1900
solar energy companies,EUR,3600,Low,21,3.26,13.99,,,,,,2900,3600,3600,3600,4400,4400,2400,3600,3600,3600,4400,4400
panasonic solar panels,EUR,2900,High,100,2.06,8.53,,,,,,2400,2900,2900,3600,2900,3600,2900,3600,3600,3600,3600,2400
solar pv,EUR,2400,Low,26,2.98,17.26,,,,,,1600,1900,1900,2400,2900,2400,1900,1900,1900,2400,2400,2400
solar panel companies,EUR,3600,Medium,48,2.95,13.02,,,,,,2400,2900,3600,3600,3600,4400,2900,2900,2900,2900,5400,4400
cheap solar panels,EUR,2900,High,100,1.49,7.57,,,,,,2900,2900,2900,2900,3600,3600,2900,3600,3600,2900,2900,1900
renogy solar panels,EUR,3600,High,100,0.31,4.66,,,,,,1300,1600,1600,1900,2400,5400,5400,4400,3600,4400,4400,3600
solar power for home,EUR,3600,High,100,1.55,7.87,,,,,,2900,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2900
solar car battery charger,EUR,2900,High,100,0.13,0.62,,,,,,2400,2900,2400,2900,2900,3600,2900,2900,2900,2900,2900,2900
sunpower solar,EUR,2900,High,86,4.5,15.86,,,,,,1300,1600,1600,2400,2400,2900,2900,4400,4400,3600,4400,3600
roof solar panels,EUR,6600,High,100,2.19,8.83,,,,,,4400,4400,5400,5400,5400,5400,5400,8100,8100,6600,8100,6600
solar power charger,EUR,3600,High,100,0.27,2.42,,,,,,2900,2400,1900,2400,2900,3600,4400,4400,5400,3600,3600,2900
solar panel installation cost,EUR,4400,High,97,2.48,10.68,,,,,,2900,3600,3600,4400,4400,4400,4400,5400,4400,4400,4400,3600
200 watt solar panel,EUR,2400,High,100,0.21,5.51,,,,,,1900,2400,2400,2900,2400,2400,2900,2900,2900,2900,2400,2400
most efficient solar panels,EUR,2400,High,100,1.8,6.79,,,,,,1900,2400,2400,2400,2400,2400,2400,2900,2900,2900,2900,2400
solar powered battery charger,EUR,2900,High,100,0.31,2.93,,,,,,2400,2400,2400,2900,2900,3600,4400,4400,4400,3600,2900,2400
solar power inverter,EUR,1900,High,100,0.45,3.68,,,,,,1600,1900,1600,1900,1900,2400,1900,2400,2400,1900,2400,1600
free electricity,EUR,1900,Medium,47,1,7.82,,,,,,1900,2400,1900,1900,1600,1600,1600,1900,1600,1900,1900,1900
solar panel charger,EUR,2400,High,100,0.21,4.32,,,,,,2900,1600,1600,1900,1900,2400,2400,2900,2400,1900,1900,1900
monocrystalline solar panel,EUR,1900,High,100,1.42,6.51,,,,,,1900,1900,1900,2400,2400,1900,1900,2400,1900,1900,1900,1900
solar panels amazon,EUR,2900,High,100,0.36,4.17,,,,,,2400,2400,2400,2400,2400,3600,3600,4400,4400,3600,3600,2900
solar panel inverter,EUR,2400,High,100,0.97,5.13,,,,,,1600,1900,1600,1900,2400,2400,2400,2400,2400,2400,2900,2400
buy solar panels,EUR,2400,High,100,1.91,8.74,,,,,,1900,1900,2400,2400,2400,2400,1900,2400,2400,2400,2400,1600
