Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
clothes,USD,N/A,"100,000","1,000,000",High,100,0.79,4.23,,,,,,,,,,,,,,,,,
cocktail dresses,USD,N/A,"100,000","1,000,000",High,100,0.89,2.73,,,,,,,,,,,,,,,,,
dresses,USD,N/A,"100,000","1,000,000",High,100,0.75,2.17,,,,,,,,,,,,,,,,,
fashion,USD,N/A,"100,000","1,000,000",High,92,0.56,6.56,,,,,,,,,,,,,,,,,
plus size dresses,USD,N/A,"100,000","1,000,000",High,100,0.66,2.24,,,,,,,,,,,,,,,,,
wedding dresses,USD,N/A,"100,000","1,000,000",High,100,0.6,1.68,,,,,,,,,,,,,,,,,
prom dresses,USD,N/A,"100,000","1,000,000",High,100,0.23,0.8,,,,,,,,,,,,,,,,,
clothing store,USD,N/A,"100,000","1,000,000",Medium,60,0.74,3.56,,,,,,,,,,,,,,,,,
swimsuits,USD,N/A,"100,000","1,000,000",High,100,1.19,3.38,,,,,,,,,,,,,,,,,
bridesmaid dresses,USD,N/A,"100,000","1,000,000",High,100,1.08,2.56,,,,,,,,,,,,,,,,,
met gala 2019,USD,N/A,"100,000","1,000,000",Low,0,0.05,0.11,,,,,,,,,,,,,,,,,
homecoming dresses,USD,N/A,"100,000","1,000,000",High,100,0.42,1.25,,,,,,,,,,,,,,,,,
mother of the bride dresses,USD,N/A,"100,000","1,000,000",High,100,0.42,1.52,,,,,,,,,,,,,,,,,
white dress,USD,N/A,"100,000","1,000,000",High,100,0.65,2.16,,,,,,,,,,,,,,,,,
formal dresses,USD,N/A,"100,000","1,000,000",High,100,0.66,1.9,,,,,,,,,,,,,,,,,
bathing suits,USD,N/A,"100,000","1,000,000",High,100,1.08,3.24,,,,,,,,,,,,,,,,,
80s fashion,USD,N/A,"100,000","1,000,000",High,100,0.21,0.35,,,,,,,,,,,,,,,,,
maxi dresses,USD,N/A,"100,000","1,000,000",High,100,0.75,2,,,,,,,,,,,,,,,,,
clothing stores near me,USD,N/A,"100,000","1,000,000",High,85,1.06,7.99,,,,,,,,,,,,,,,,,
maternity dresses,USD,N/A,"100,000","1,000,000",High,100,0.7,2.18,,,,,,,,,,,,,,,,,
mom jeans,USD,N/A,"100,000","1,000,000",High,100,0.61,2.67,,,,,,,,,,,,,,,,,
met gala,USD,N/A,"100,000","1,000,000",Low,1,0.06,2.46,,,,,,,,,,,,,,,,,
wedding guest dresses,USD,N/A,"100,000","1,000,000",High,100,0.75,2.86,,,,,,,,,,,,,,,,,
sweatshirt,USD,N/A,"100,000","1,000,000",High,100,0.7,2.57,,,,,,,,,,,,,,,,,
sweater,USD,N/A,"100,000","1,000,000",High,100,0.67,1.97,,,,,,,,,,,,,,,,,
maternity clothes,USD,N/A,"100,000","1,000,000",High,100,1.19,3.28,,,,,,,,,,,,,,,,,
leggings,USD,N/A,"100,000","1,000,000",High,100,1.15,3.94,,,,,,,,,,,,,,,,,
plus size clothing,USD,N/A,"100,000","1,000,000",High,100,0.93,3.03,,,,,,,,,,,,,,,,,
black dress,USD,N/A,"100,000","1,000,000",High,100,0.57,1.95,,,,,,,,,,,,,,,,,
leather jacket,USD,N/A,"100,000","1,000,000",High,100,0.7,2.04,,,,,,,,,,,,,,,,,
north face jacket,USD,N/A,"100,000","1,000,000",High,100,1.5,4.07,,,,,,,,,,,,,,,,,
90s fashion,USD,N/A,"100,000","1,000,000",High,100,0.6,2.29,,,,,,,,,,,,,,,,,
summer dresses,USD,N/A,"100,000","1,000,000",High,100,0.77,2.62,,,,,,,,,,,,,,,,,
baby clothes,USD,N/A,"100,000","1,000,000",High,100,0.63,1.85,,,,,,,,,,,,,,,,,
red dress,USD,N/A,"100,000","1,000,000",High,100,0.6,1.91,,,,,,,,,,,,,,,,,
bomber jacket,USD,N/A,"100,000","1,000,000",High,100,0.67,1.99,,,,,,,,,,,,,,,,,
levis jeans,USD,N/A,"100,000","1,000,000",High,100,1.67,23.42,,,,,,,,,,,,,,,,,
canada goose jacket,USD,N/A,"100,000","1,000,000",High,100,0.82,9.96,,,,,,,,,,,,,,,,,
pants,USD,N/A,"100,000","1,000,000",High,100,0.84,2.42,,,,,,,,,,,,,,,,,
supreme hoodie,USD,N/A,"100,000","1,000,000",High,100,0.26,1.45,,,,,,,,,,,,,,,,,
macys dresses,USD,N/A,"100,000","1,000,000",High,100,0.15,1.11,,,,,,,,,,,,,,,,,
jacket,USD,N/A,"100,000","1,000,000",High,100,0.66,2.12,,,,,,,,,,,,,,,,,
flower girl dresses,USD,N/A,"100,000","1,000,000",High,100,0.37,1.3,,,,,,,,,,,,,,,,,
