Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
garden centre,USD,N/A,"10,000","100,000",Low,8,0.61,2.62,,,,,,,,,,,,,,,,,
landscape design,USD,N/A,"10,000","100,000",High,71,2.03,7.27,,,,,,,,,,,,,,,,,
plant nursery,USD,N/A,"10,000","100,000",Low,18,0.71,2.92,,,,,,,,,,,,,,,,,
garden tools,USD,N/A,"10,000","100,000",High,100,0.39,1.29,,,,,,,,,,,,,,,,,
landscape,USD,N/A,"100,000","1,000,000",Low,10,1.79,5.68,,,,,,,,,,,,,,,,,
wheelbarrow,USD,N/A,"100,000","1,000,000",High,100,0.27,0.49,,,,,,,,,,,,,,,,,
riding lawn mower,USD,N/A,"100,000","1,000,000",High,100,0.46,4,,,,,,,,,,,,,,,,,
plant nursery near me,USD,N/A,"10,000","100,000",Low,16,1.08,4,,,,,,,,,,,,,,,,,
leaf blower,USD,N/A,"10,000","100,000",High,100,0.32,2.13,,,,,,,,,,,,,,,,,
landscaping near me,USD,N/A,"100,000","1,000,000",Medium,54,2.09,7.78,,,,,,,,,,,,,,,,,
garden centre near me,USD,N/A,"10,000","100,000",Low,7,1.34,5.66,,,,,,,,,,,,,,,,,
stihl leaf blower,USD,N/A,"10,000","100,000",High,100,0.43,2.05,,,,,,,,,,,,,,,,,
landscape architecture,USD,N/A,"10,000","100,000",Low,20,2,7.88,,,,,,,,,,,,,,,,,
plant store near me,USD,N/A,"10,000","100,000",Medium,63,1.51,10,,,,,,,,,,,,,,,,,
landscaper,USD,N/A,"10,000","100,000",Low,13,1.89,6.71,,,,,,,,,,,,,,,,,
landscape edging,USD,N/A,"10,000","100,000",High,100,0.43,4.05,,,,,,,,,,,,,,,,,
garden edging,USD,N/A,"10,000","100,000",High,100,0.3,1.48,,,,,,,,,,,,,,,,,
tree nursery near me,USD,N/A,"10,000","100,000",High,71,1.28,6.05,,,,,,,,,,,,,,,,,
landscaping companies near me,USD,N/A,"10,000","100,000",Medium,45,2.29,10.32,,,,,,,,,,,,,,,,,
lawn mower battery,USD,N/A,"10,000","100,000",High,100,0.29,1.43,,,,,,,,,,,,,,,,,
garden hoe,USD,N/A,"10,000","100,000",High,100,0.31,2,,,,,,,,,,,,,,,,,
landscaping companies,USD,N/A,"10,000","100,000",Medium,44,2.05,9.4,,,,,,,,,,,,,,,,,
lawn roller,USD,N/A,"10,000","100,000",High,100,0.33,0.8,,,,,,,,,,,,,,,,,
garden nursery near me,USD,N/A,"10,000","100,000",Low,8,1.19,6.48,,,,,,,,,,,,,,,,,
trees for sale,USD,N/A,"10,000","100,000",High,100,0.27,1.24,,,,,,,,,,,,,,,,,
xeriscape,USD,N/A,"10,000","100,000",Low,3,1.25,4.04,,,,,,,,,,,,,,,,,
home depot garden center,USD,N/A,"10,000","100,000",High,100,0.01,5.5,,,,,,,,,,,,,,,,,
tree nursery,USD,N/A,"10,000","100,000",High,69,0.61,3.38,,,,,,,,,,,,,,,,,
ryobi lawn mower,USD,N/A,"10,000","100,000",High,100,0.17,0.5,,,,,,,,,,,,,,,,,
front yard landscaping,USD,N/A,"10,000","100,000",Medium,41,1.78,5.55,,,,,,,,,,,,,,,,,
cordless leaf blower,USD,N/A,"10,000","100,000",High,100,0.35,2.25,,,,,,,,,,,,,,,,,
backpack leaf blower,USD,N/A,"10,000","100,000",High,100,0.38,2.07,,,,,,,,,,,,,,,,,
ryobi leaf blower,USD,N/A,"10,000","100,000",High,100,0.18,0.56,,,,,,,,,,,,,,,,,
lawn maintenance,USD,N/A,"10,000","100,000",Low,14,3.22,9.89,,,,,,,,,,,,,,,,,
hardscape,USD,N/A,"10,000","100,000",Medium,46,1.92,9.19,,,,,,,,,,,,,,,,,
pruning shears,USD,N/A,"1,000","10,000",High,100,0.36,0.79,,,,,,,,,,,,,,,,,
garden nursery,USD,N/A,"10,000","100,000",Low,14,0.84,3.65,,,,,,,,,,,,,,,,,
loppers,USD,N/A,"1,000","10,000",High,100,0.14,0.68,,,,,,,,,,,,,,,,,
gas leaf blower,USD,N/A,"10,000","100,000",High,100,0.35,1.29,,,,,,,,,,,,,,,,,
landscaping services,USD,N/A,"10,000","100,000",Medium,49,2.5,8.69,,,,,,,,,,,,,,,,,
electric leaf blower,USD,N/A,"10,000","100,000",High,100,0.3,1.94,,,,,,,,,,,,,,,,,
fruit trees for sale,USD,N/A,"1,000","10,000",High,100,0.33,1.35,,,,,,,,,,,,,,,,,
landscape rock near me,USD,N/A,"10,000","100,000",High,92,1.28,6.24,,,,,,,,,,,,,,,,,
desert landscape,USD,N/A,"1,000","10,000",Low,3,1.71,6.38,,,,,,,,,,,,,,,,,
leaf rake,USD,N/A,"10,000","100,000",High,100,0.4,2.3,,,,,,,,,,,,,,,,,
hoe tool,USD,N/A,"1,000","10,000",High,97,0.36,0.95,,,,,,,,,,,,,,,,,
palm trees for sale,USD,N/A,"1,000","10,000",High,100,0.49,1.41,,,,,,,,,,,,,,,,,
best leaf blower,USD,N/A,"1,000","10,000",High,100,0.16,1.44,,,,,,,,,,,,,,,,,
spade shovel,USD,N/A,"1,000","10,000",High,100,0.32,0.58,,,,,,,,,,,,,,,,,
backyard landscaping,USD,N/A,"1,000","10,000",High,100,1.74,5.27,,,,,,,,,,,,,,,,,
wheelbarrow lowes,USD,N/A,"10,000","100,000",High,100,0.17,0.85,,,,,,,,,,,,,,,,,
