Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
free dating sites,USD,N/A,"100,000","1,000,000",High,94,1.52,2.81,,,,,,,,,,,,,,,,,
interracial dating,USD,N/A,"10,000","100,000",Medium,63,0.45,2.26,,,,,,,,,,,,,,,,,
speed dating,USD,N/A,"10,000","100,000",Low,24,0.55,2.66,,,,,,,,,,,,,,,,,
women seeking men,USD,N/A,"10,000","100,000",Medium,47,0.45,1.52,,,,,,,,,,,,,,,,,
matrimony,USD,N/A,"10,000","100,000",Low,9,0.94,2.79,,,,,,,,,,,,,,,,,
interracial dating central,USD,N/A,"10,000","100,000",Low,9,0.02,0.08,,,,,,,,,,,,,,,,,
christian dating for free,USD,N/A,"10,000","100,000",Low,24,1.44,3.61,,,,,,,,,,,,,,,,,
free dating websites,USD,N/A,"10,000","100,000",High,90,1.58,3.28,,,,,,,,,,,,,,,,,
plenty of fish search free,USD,N/A,"10,000","100,000",Low,15,0.51,1.92,,,,,,,,,,,,,,,,,
free online dating,USD,N/A,"1,000","10,000",High,84,1.46,3.12,,,,,,,,,,,,,,,,,
interracial dating site,USD,N/A,"10,000","100,000",Medium,66,0.83,2.8,,,,,,,,,,,,,,,,,
speed dating near me,USD,N/A,"10,000","100,000",Low,33,0.8,2.7,,,,,,,,,,,,,,,,,
women looking for men,USD,N/A,"1,000","10,000",Medium,64,0.47,2,,,,,,,,,,,,,,,,,
100 percent free dating sites,USD,N/A,"1,000","10,000",High,89,0.95,2.12,,,,,,,,,,,,,,,,,
best free online dating sites,USD,N/A,"1,000","10,000",High,84,1.17,2.87,,,,,,,,,,,,,,,,,
pof free dating site,USD,N/A,"1,000","10,000",Low,17,0.58,2.19,,,,,,,,,,,,,,,,,
free online dating sites,USD,N/A,"1,000","10,000",High,90,1.51,3.23,,,,,,,,,,,,,,,,,
free dating sites no sign up,USD,N/A,"1,000","10,000",High,85,0.7,1.85,,,,,,,,,,,,,,,,,
interracial people meet,USD,N/A,"1,000","10,000",Low,3,0.86,1.73,,,,,,,,,,,,,,,,,
best free dating sites,USD,N/A,"1,000","10,000",High,73,1.16,3.01,,,,,,,,,,,,,,,,,
craigslist women seeking men,USD,N/A,"1,000","10,000",Low,16,0.27,1.91,,,,,,,,,,,,,,,,,
best free dating site for serious relationships,USD,N/A,"1,000","10,000",High,79,0.93,3.08,,,,,,,,,,,,,,,,,
flirty9,USD,N/A,"1,000","10,000",Medium,36,0.61,1.24,,,,,,,,,,,,,,,,,
interracial cupid,USD,N/A,"1,000","10,000",Low,1,1.12,4.99,,,,,,,,,,,,,,,,,
reddy matrimony,USD,N/A,"1,000","10,000",Low,4,0.35,0.77,,,,,,,,,,,,,,,,,
free dating sites for women,USD,N/A,"1,000","10,000",High,91,1.44,3.17,,,,,,,,,,,,,,,,,
craigslist men seeking women,USD,N/A,"1,000","10,000",Low,11,0.48,1.63,,,,,,,,,,,,,,,,,
singles events,USD,N/A,"1,000","10,000",Medium,48,1.11,3,,,,,,,,,,,,,,,,,
brahmin matrimony,USD,N/A,"1,000","10,000",Low,2,0.63,0.82,,,,,,,,,,,,,,,,,
free christian dating sites,USD,N/A,"1,000","10,000",High,67,1.74,4.19,,,,,,,,,,,,,,,,,
speed date,USD,N/A,"1,000","10,000",Medium,55,0.55,1.87,,,,,,,,,,,,,,,,,
totally free dating sites,USD,N/A,"1,000","10,000",High,87,0.85,2.15,,,,,,,,,,,,,,,,,
totally free online dating sites,USD,N/A,"1,000","10,000",High,82,0.91,2.12,,,,,,,,,,,,,,,,,
men looking for women,USD,N/A,"1,000","10,000",Medium,62,0.59,1.5,,,,,,,,,,,,,,,,,
dating chat rooms,USD,N/A,"1,000","10,000",High,69,0.81,2.06,,,,,,,,,,,,,,,,,
speeddate,USD,N/A,"1,000","10,000",Medium,66,0.54,1.72,,,,,,,,,,,,,,,,,
interracial match,USD,N/A,"1,000","10,000",Low,4,0.25,0.34,,,,,,,,,,,,,,,,,
free local dating sites,USD,N/A,"1,000","10,000",High,92,1.2,2.32,,,,,,,,,,,,,,,,,
zoosk free,USD,N/A,"1,000","10,000",Low,31,0.55,1.78,,,,,,,,,,,,,,,,,
black singles,USD,N/A,"1,000","10,000",Medium,67,0.83,2.33,,,,,,,,,,,,,,,,,
top completely free dating sites,USD,N/A,"1,000","10,000",Medium,54,0.99,3.19,,,,,,,,,,,,,,,,,
free gay dating sites,USD,N/A,"1,000","10,000",High,86,0.83,1.78,,,,,,,,,,,,,,,,,
swirl dating,USD,N/A,"1,000","10,000",Low,23,0.2,0.8,,,,,,,,,,,,,,,,,
iyer matrimony,USD,N/A,100,"1,000",Low,7,0.41,1.23,,,,,,,,,,,,,,,,,
pof free search,USD,N/A,"1,000","10,000",Low,22,0.4,2,,,,,,,,,,,,,,,,,
free dating sites for men,USD,N/A,"1,000","10,000",High,95,1.1,3.32,,,,,,,,,,,,,,,,,
free dating sites for seniors,USD,N/A,"1,000","10,000",High,93,1.75,4.09,,,,,,,,,,,,,,,,,
find hidden dating profiles free,USD,N/A,"1,000","10,000",High,72,0.83,2.91,,,,,,,,,,,,,,,,,
completely free dating sites,USD,N/A,"1,000","10,000",High,80,1.07,2.27,,,,,,,,,,,,,,,,,
men looking for men craigslist,USD,N/A,"1,000","10,000",Low,17,0.46,1.82,,,,,,,,,,,,,,,,,
best sites to meet people,USD,N/A,"1,000","10,000",High,78,1.21,2.26,,,,,,,,,,,,,,,,,
free local dating,USD,N/A,"1,000","10,000",High,92,0.85,1.9,,,,,,,,,,,,,,,,,
free inmate dating sites,USD,N/A,"1,000","10,000",Medium,41,0.62,2,,,,,,,,,,,,,,,,,
pure matrimony,USD,N/A,100,"1,000",Low,12,0.31,0.4,,,,,,,,,,,,,,,,,
mingle2 dating site,USD,N/A,100,"1,000",Low,24,0.92,2.93,,,,,,,,,,,,,,,,,
girlsdateforfree,USD,N/A,100,"1,000",Low,17,0.84,1.86,,,,,,,,,,,,,,,,,
older women looking for younger men,USD,N/A,"1,000","10,000",High,75,0.69,1.59,,,,,,,,,,,,,,,,,
women seeking older men,USD,N/A,100,"1,000",Medium,58,0.62,2.13,,,,,,,,,,,,,,,,,
free senior dating sites online,USD,N/A,"1,000","10,000",High,89,1.17,2.94,,,,,,,,,,,,,,,,,
black singles meet,USD,N/A,"1,000","10,000",Medium,54,0.95,3.01,,,,,,,,,,,,,,,,,
speed dating events,USD,N/A,100,"1,000",Low,25,1.65,3.22,,,,,,,,,,,,,,,,,
100 percent free online dating sites,USD,N/A,100,"1,000",High,82,0.96,2.26,,,,,,,,,,,,,,,,,
dating sites for free no membership,USD,N/A,100,"1,000",High,79,0.89,2.54,,,,,,,,,,,,,,,,,
best free christian dating sites,USD,N/A,100,"1,000",High,79,0.98,3.08,,,,,,,,,,,,,,,,,
free hookup sites no credit card,USD,N/A,"1,000","10,000",High,93,0.95,2.02,,,,,,,,,,,,,,,,,
mingle2 sign up,USD,N/A,100,"1,000",Low,6,0.68,2.42,,,,,,,,,,,,,,,,,
matrimony sites,USD,N/A,100,"1,000",Medium,50,1,2.55,,,,,,,,,,,,,,,,,
women seeking men near me,USD,N/A,100,"1,000",Medium,44,0.53,1.76,,,,,,,,,,,,,,,,,
absolutely free dating sites,USD,N/A,"1,000","10,000",High,88,1.2,2.23,,,,,,,,,,,,,,,,,
black dating for free,USD,N/A,"1,000","10,000",Low,18,0.91,1.98,,,,,,,,,,,,,,,,,
free gay dating,USD,N/A,100,"1,000",High,90,0.97,1.7,,,,,,,,,,,,,,,,,
free dating sites no hidden fees,USD,N/A,100,"1,000",High,83,0.75,1.87,,,,,,,,,,,,,,,,,
100 free hookup sites,USD,N/A,"1,000","10,000",High,87,0.73,1.33,,,,,,,,,,,,,,,,,
meet singles near me for free,USD,N/A,100,"1,000",High,85,0.97,1.97,,,,,,,,,,,,,,,,,
iyengar matrimony,USD,N/A,100,"1,000",Low,9,0.46,0.89,,,,,,,,,,,,,,,,,
gujarati matrimony,USD,N/A,100,"1,000",Low,15,0.37,0.73,,,,,,,,,,,,,,,,,
muslim marriage site,USD,N/A,100,"1,000",High,86,1.15,3.88,,,,,,,,,,,,,,,,,
meet singles for free,USD,N/A,100,"1,000",High,89,1.41,2.9,,,,,,,,,,,,,,,,,
top free dating sites,USD,N/A,100,"1,000",High,70,1.21,2.91,,,,,,,,,,,,,,,,,
best free senior dating sites,USD,N/A,100,"1,000",High,90,1.35,2.67,,,,,,,,,,,,,,,,,
totally free online dating sites over 50,USD,N/A,100,"1,000",High,92,1.44,3.84,,,,,,,,,,,,,,,,,
free international dating site,USD,N/A,100,"1,000",High,81,2.25,5.69,,,,,,,,,,,,,,,,,
free dating sites without payment,USD,N/A,100,"1,000",High,74,1.28,2.85,,,,,,,,,,,,,,,,,
free lesbian dating sites,USD,N/A,"1,000","10,000",High,84,0.89,2.36,,,,,,,,,,,,,,,,,
interracial cupid dating site,USD,N/A,100,"1,000",Low,2,1.24,2.8,,,,,,,,,,,,,,,,,
women looking for men craigslist,USD,N/A,"1,000","10,000",Low,33,0.23,1.03,,,,,,,,,,,,,,,,,
dating sites for over 50 free,USD,N/A,"1,000","10,000",High,95,2.32,4.36,,,,,,,,,,,,,,,,,
free dating chat,USD,N/A,100,"1,000",High,82,0.79,1.87,,,,,,,,,,,,,,,,,
speed dating events near me,USD,N/A,100,"1,000",Low,26,0.96,3.36,,,,,,,,,,,,,,,,,
mingle2mingle,USD,N/A,100,"1,000",Low,5,0.96,4.46,,,,,,,,,,,,,,,,,
local black singles,USD,N/A,100,"1,000",High,75,0.55,1.44,,,,,,,,,,,,,,,,,
interracial central,USD,N/A,100,"1,000",Low,0,,,,,,,,,,,,,,,,,,,
eharmony free,USD,N/A,100,"1,000",Medium,49,1.08,6.5,,,,,,,,,,,,,,,,,
white women looking for black men,USD,N/A,100,"1,000",High,75,0.38,1.41,,,,,,,,,,,,,,,,,
free interracial dating sites,USD,N/A,"1,000","10,000",High,72,1.01,2.78,,,,,,,,,,,,,,,,,
free local singles,USD,N/A,100,"1,000",Medium,62,0.89,2.04,,,,,,,,,,,,,,,,,
dating sites free chat,USD,N/A,100,"1,000",High,87,0.97,2.31,,,,,,,,,,,,,,,,,
plenty of fish free dating site,USD,N/A,100,"1,000",Medium,55,0.61,1.85,,,,,,,,,,,,,,,,,
marriage websites,USD,N/A,100,"1,000",High,73,1.29,3.41,,,,,,,,,,,,,,,,,
best gay hookup sites,USD,N/A,100,"1,000",High,72,0.84,5,,,,,,,,,,,,,,,,,
ss matrimony,USD,N/A,100,"1,000",Low,0,,,,,,,,,,,,,,,,,,,
free messaging dating sites,USD,N/A,100,"1,000",High,83,0.89,2.16,,,,,,,,,,,,,,,,,
100 totally free dating sites,USD,N/A,100,"1,000",High,80,0.75,2.07,,,,,,,,,,,,,,,,,
best free dating websites,USD,N/A,100,"1,000",High,67,1.33,2.94,,,,,,,,,,,,,,,,,
free single sites,USD,N/A,"1,000","10,000",High,95,1.31,2.74,,,,,,,,,,,,,,,,,
marriage sites,USD,N/A,100,"1,000",High,79,1.09,3.6,,,,,,,,,,,,,,,,,
dating events near me,USD,N/A,100,"1,000",Medium,45,1.76,5.24,,,,,,,,,,,,,,,,,
free bbw dating,USD,N/A,100,"1,000",High,78,0.68,1.73,,,,,,,,,,,,,,,,,
free dating service,USD,N/A,100,"1,000",High,88,1.16,2.5,,,,,,,,,,,,,,,,,
free international dating sites for marriage,USD,N/A,100,"1,000",High,77,2.08,5.59,,,,,,,,,,,,,,,,,
