Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
bridal dresses,USD,N/A,"10,000","100,000",High,100,0.65,2,,,,,,,,,,,,,,,,,
veil,USD,N/A,"10,000","100,000",High,85,0.29,1,,,,,,,,,,,,,,,,,
wedding invitations,USD,N/A,"100,000","1,000,000",High,100,2.26,5.83,,,,,,,,,,,,,,,,,
wedding planner,USD,N/A,"10,000","100,000",High,100,1.65,4.38,,,,,,,,,,,,,,,,,
wedding cake,USD,N/A,"100,000","1,000,000",High,100,0.62,2.71,,,,,,,,,,,,,,,,,
wedding guest dresses,USD,N/A,"100,000","1,000,000",High,100,0.75,2.86,,,,,,,,,,,,,,,,,
bridal shops near me,USD,N/A,"10,000","100,000",High,96,1.56,4.55,,,,,,,,,,,,,,,,,
lace wedding dress,USD,N/A,"10,000","100,000",High,100,0.56,1.54,,,,,,,,,,,,,,,,,
wedding cake toppers,USD,N/A,"10,000","100,000",High,100,0.36,1.22,,,,,,,,,,,,,,,,,
bridal gowns,USD,N/A,"10,000","100,000",High,100,0.66,1.8,,,,,,,,,,,,,,,,,
wedding gowns,USD,N/A,"10,000","100,000",High,100,0.6,1.95,,,,,,,,,,,,,,,,,
plus size mother of the bride dresses,USD,N/A,"10,000","100,000",High,100,0.55,1.55,,,,,,,,,,,,,,,,,
cake toppers,USD,N/A,"10,000","100,000",High,100,0.28,1.09,,,,,,,,,,,,,,,,,
wedding veil,USD,N/A,"10,000","100,000",High,100,0.39,1.19,,,,,,,,,,,,,,,,,
bridal shower dresses,USD,N/A,"10,000","100,000",High,100,0.72,2.83,,,,,,,,,,,,,,,,,
bridal stores near me,USD,N/A,"10,000","100,000",High,96,1.5,4.16,,,,,,,,,,,,,,,,,
bridal boutique,USD,N/A,"10,000","100,000",High,100,0.73,2.88,,,,,,,,,,,,,,,,,
wedding card,USD,N/A,"10,000","100,000",High,100,1.62,3.97,,,,,,,,,,,,,,,,,
sexy wedding dress,USD,N/A,"10,000","100,000",High,100,0.4,1.68,,,,,,,,,,,,,,,,,
cheap wedding invitations,USD,N/A,"10,000","100,000",High,100,1.76,6.64,,,,,,,,,,,,,,,,,
long sleeve lace wedding dress,USD,N/A,"10,000","100,000",High,100,0.54,1.71,,,,,,,,,,,,,,,,,
indian wedding dresses,USD,N/A,"10,000","100,000",High,100,0.3,1.01,,,,,,,,,,,,,,,,,
kate middleton wedding dress,USD,N/A,"10,000","100,000",High,100,0.8,3.18,,,,,,,,,,,,,,,,,
mother of the bride dresses tea length,USD,N/A,"10,000","100,000",High,100,0.32,1.26,,,,,,,,,,,,,,,,,
davids bridal bridesmaid,USD,N/A,"10,000","100,000",High,100,0.61,2.89,,,,,,,,,,,,,,,,,
wedding cakes near me,USD,N/A,"10,000","100,000",Low,16,0.7,2.26,,,,,,,,,,,,,,,,,
purple bridesmaid dresses,USD,N/A,"10,000","100,000",High,100,0.85,1.43,,,,,,,,,,,,,,,,,
bridal veil,USD,N/A,"10,000","100,000",High,100,0.4,1.23,,,,,,,,,,,,,,,,,
davids bridal dresses,USD,N/A,"10,000","100,000",High,100,0.4,2,,,,,,,,,,,,,,,,,
white bridesmaid dresses,USD,N/A,"10,000","100,000",High,100,0.75,1.7,,,,,,,,,,,,,,,,,
macys mother of the bride dresses,USD,N/A,"10,000","100,000",High,100,0.33,1.23,,,,,,,,,,,,,,,,,
