Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
automatic cars,USD,N/A,"1,000","10,000",Low,9,1.6,10,,,,,,,,,,,,,,,,,
automotive technician,USD,N/A,"1,000","10,000",Low,33,2.75,19.07,,,,,,,,,,,,,,,,,
dealer,USD,N/A,"10,000","100,000",Low,19,1.27,9,,,,,,,,,,,,,,,,,
motor car,USD,N/A,"1,000","10,000",High,83,0.73,2.79,,,,,,,,,,,,,,,,,
cars for sale,USD,N/A,"100,000","1,000,000",High,86,1,3.39,,,,,,,,,,,,,,,,,
used cars,USD,N/A,"100,000","1,000,000",Medium,61,1.55,5.13,,,,,,,,,,,,,,,,,
used cars for sale,USD,N/A,"100,000","1,000,000",High,93,1.42,4.35,,,,,,,,,,,,,,,,,
ford dealership,USD,N/A,"100,000","1,000,000",Low,31,2.44,8.4,,,,,,,,,,,,,,,,,
car dealerships near me,USD,N/A,"100,000","1,000,000",Medium,42,2.5,10.79,,,,,,,,,,,,,,,,,
car dealerships,USD,N/A,"100,000","1,000,000",Low,15,2.02,9.69,,,,,,,,,,,,,,,,,
used cars near me,USD,N/A,"100,000","1,000,000",High,81,1.9,6,,,,,,,,,,,,,,,,,
honda dealership,USD,N/A,"100,000","1,000,000",Medium,36,1.7,7.19,,,,,,,,,,,,,,,,,
toyota dealership,USD,N/A,"100,000","1,000,000",Medium,35,2,8.19,,,,,,,,,,,,,,,,,
cars for sale near me,USD,N/A,"100,000","1,000,000",High,72,1.24,4.37,,,,,,,,,,,,,,,,,
ford dealership near me,USD,N/A,"100,000","1,000,000",Medium,48,2.7,9.35,,,,,,,,,,,,,,,,,
dodge dealership,USD,N/A,"100,000","1,000,000",Medium,43,3.69,10.22,,,,,,,,,,,,,,,,,
chevy dealership,USD,N/A,"100,000","1,000,000",Medium,46,2,7.16,,,,,,,,,,,,,,,,,
cargurus used cars,USD,N/A,"100,000","1,000,000",Medium,35,1.44,7.62,,,,,,,,,,,,,,,,,
nissan dealership,USD,N/A,"100,000","1,000,000",Medium,42,2.76,8,,,,,,,,,,,,,,,,,
buy here pay here,USD,N/A,"100,000","1,000,000",Medium,65,1.43,6.29,,,,,,,,,,,,,,,,,
dealerships near me,USD,N/A,"100,000","1,000,000",Low,32,1.9,11.97,,,,,,,,,,,,,,,,,
jeep dealership,USD,N/A,"100,000","1,000,000",Medium,42,3.5,7.79,,,,,,,,,,,,,,,,,
used car dealerships near me,USD,N/A,"100,000","1,000,000",Medium,58,2.23,7.26,,,,,,,,,,,,,,,,,
honda dealership near me,USD,N/A,"100,000","1,000,000",Medium,38,2.47,8.25,,,,,,,,,,,,,,,,,
toyota dealership near me,USD,N/A,"100,000","1,000,000",Medium,39,2.52,8.49,,,,,,,,,,,,,,,,,
nissan 350z,USD,N/A,"100,000","1,000,000",Medium,54,0.34,1.95,,,,,,,,,,,,,,,,,
kia dealership,USD,N/A,"100,000","1,000,000",Medium,42,1.96,9,,,,,,,,,,,,,,,,,
used cars for sale near me,USD,N/A,"100,000","1,000,000",High,87,1.76,5.88,,,,,,,,,,,,,,,,,
used car dealerships,USD,N/A,"100,000","1,000,000",Medium,48,2,6.76,,,,,,,,,,,,,,,,,
chevrolet dealer,USD,N/A,"100,000","1,000,000",Medium,44,2.06,7,,,,,,,,,,,,,,,,,
classic cars for sale,USD,N/A,"100,000","1,000,000",High,73,0.11,1.39,,,,,,,,,,,,,,,,,
hyundai dealership,USD,N/A,"100,000","1,000,000",Medium,34,1.7,6.85,,,,,,,,,,,,,,,,,
jeep wrangler for sale,USD,N/A,"100,000","1,000,000",High,96,1.28,8.28,,,,,,,,,,,,,,,,,
chevy dealer near me,USD,N/A,"100,000","1,000,000",Medium,51,2.5,8.5,,,,,,,,,,,,,,,,,
jeep patriot,USD,N/A,"10,000","100,000",Low,15,0.66,1.97,,,,,,,,,,,,,,,,,
jeep dealership near me,USD,N/A,"100,000","1,000,000",Medium,51,4.07,8.51,,,,,,,,,,,,,,,,,
carfax used cars,USD,N/A,"100,000","1,000,000",Medium,37,0.65,2.69,,,,,,,,,,,,,,,,,
mazda dealership,USD,N/A,"100,000","1,000,000",Medium,38,3.28,9.2,,,,,,,,,,,,,,,,,
craigslist cars,USD,N/A,"100,000","1,000,000",Low,13,0.52,2.44,,,,,,,,,,,,,,,,,
buy here pay here near me,USD,N/A,"10,000","100,000",Medium,60,1.69,7,,,,,,,,,,,,,,,,,
dodge dealership near me,USD,N/A,"100,000","1,000,000",Medium,49,4.41,9.71,,,,,,,,,,,,,,,,,
carmax near me,USD,N/A,"10,000","100,000",Low,27,0.34,4.09,,,,,,,,,,,,,,,,,
cheap cars for sale,USD,N/A,"10,000","100,000",High,100,1.17,3.39,,,,,,,,,,,,,,,,,
bmw dealership,USD,N/A,"100,000","1,000,000",Low,15,1.88,7.5,,,,,,,,,,,,,,,,,
nissan dealership near me,USD,N/A,"100,000","1,000,000",Medium,46,3.21,8.09,,,,,,,,,,,,,,,,,
car lots near me,USD,N/A,"10,000","100,000",Low,28,1.39,4.41,,,,,,,,,,,,,,,,,
used tesla,USD,N/A,"10,000","100,000",Medium,35,0.23,0.65,,,,,,,,,,,,,,,,,
gmc dealership,USD,N/A,"100,000","1,000,000",Medium,43,1.39,6.09,,,,,,,,,,,,,,,,,
dealerships,USD,N/A,"10,000","100,000",Low,3,2.05,11.27,,,,,,,,,,,,,,,,,
kia dealership near me,USD,N/A,"100,000","1,000,000",Medium,48,3,10,,,,,,,,,,,,,,,,,
infiniti g35,USD,N/A,"10,000","100,000",Low,10,0.39,1.7,,,,,,,,,,,,,,,,,
trucks for sale near me,USD,N/A,"10,000","100,000",High,92,0.76,2.85,,,,,,,,,,,,,,,,,
carmax used cars,USD,N/A,"10,000","100,000",Medium,50,0.64,3.45,,,,,,,,,,,,,,,,,
sell my car,USD,N/A,"10,000","100,000",High,90,3.32,12.17,,,,,,,,,,,,,,,,,
toyota near me,USD,N/A,"10,000","100,000",Medium,35,2.2,8.08,,,,,,,,,,,,,,,,,
lykan hypersport,USD,N/A,"10,000","100,000",Low,14,1.07,11.18,,,,,,,,,,,,,,,,,
audi dealership,USD,N/A,"10,000","100,000",Low,26,2.25,7.65,,,,,,,,,,,,,,,,,
volkswagen dealer,USD,N/A,"10,000","100,000",Low,33,2.69,9.45,,,,,,,,,,,,,,,,,
hyundai dealership near me,USD,N/A,"10,000","100,000",Medium,40,1.87,7.5,,,,,,,,,,,,,,,,,
lexus dealership,USD,N/A,"10,000","100,000",Low,22,1.48,8.09,,,,,,,,,,,,,,,,,
subaru dealer near me,USD,N/A,"100,000","1,000,000",Medium,41,2.47,8.25,,,,,,,,,,,,,,,,,
dodge avenger,USD,N/A,"10,000","100,000",Low,7,0.43,2,,,,,,,,,,,,,,,,,
hummer h3,USD,N/A,"10,000","100,000",Low,32,0.3,0.66,,,,,,,,,,,,,,,,,
lexus es 350,USD,N/A,"10,000","100,000",Medium,37,2.6,6.6,,,,,,,,,,,,,,,,,
used jeep wrangler,USD,N/A,"10,000","100,000",High,95,0.9,4.53,,,,,,,,,,,,,,,,,
chrysler dealership,USD,N/A,"10,000","100,000",Medium,41,3.79,9.79,,,,,,,,,,,,,,,,,
jeeps for sale,USD,N/A,"10,000","100,000",High,100,0.61,4.59,,,,,,,,,,,,,,,,,
used car lots near me,USD,N/A,"10,000","100,000",Medium,53,1.9,6.41,,,,,,,,,,,,,,,,,
bmw 328i,USD,N/A,"10,000","100,000",Low,16,0.51,3.36,,,,,,,,,,,,,,,,,
