Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
free energy,USD,N/A,"1,000","10,000",Low,11,1.31,7.53,,,,,,,,,,,,,,,,,
solar battery charger,USD,N/A,"10,000","100,000",High,100,0.37,1.68,,,,,,,,,,,,,,,,,
solar panel price,USD,N/A,"1,000","10,000",High,100,2.06,8.59,,,,,,,,,,,,,,,,,
solar panels,USD,N/A,"100,000","1,000,000",High,100,2.31,10,,,,,,,,,,,,,,,,,
sunpower,USD,N/A,"10,000","100,000",Medium,37,5,13.9,,,,,,,,,,,,,,,,,
solar energy,USD,N/A,"10,000","100,000",Low,31,3.38,19.4,,,,,,,,,,,,,,,,,
solar power,USD,N/A,"10,000","100,000",High,90,3.21,19.2,,,,,,,,,,,,,,,,,
tesla solar roof,USD,N/A,"10,000","100,000",Low,26,1.83,6.79,,,,,,,,,,,,,,,,,
solar panel cost,USD,N/A,"10,000","100,000",High,100,1.99,9.48,,,,,,,,,,,,,,,,,
tesla solar panels,USD,N/A,"10,000","100,000",High,92,2.81,6.46,,,,,,,,,,,,,,,,,
gibbs free energy,USD,N/A,"10,000","100,000",Low,0,,,,,,,,,,,,,,,,,,,
solar panels for sale,USD,N/A,"10,000","100,000",High,100,1.44,7.84,,,,,,,,,,,,,,,,,
solar charger,USD,N/A,"10,000","100,000",High,100,0.34,1.83,,,,,,,,,,,,,,,,,
solar panels for home,USD,N/A,"10,000","100,000",High,100,2.24,9.67,,,,,,,,,,,,,,,,,
solar cell,USD,N/A,"1,000","10,000",High,100,1.29,7.3,,,,,,,,,,,,,,,,,
solar power system,USD,N/A,"1,000","10,000",High,100,1.99,8,,,,,,,,,,,,,,,,,
solar panel installation,USD,N/A,"10,000","100,000",Medium,61,3.93,18.82,,,,,,,,,,,,,,,,,
solar charge controller,USD,N/A,"1,000","10,000",High,100,0.4,3.43,,,,,,,,,,,,,,,,,
portable solar panels,USD,N/A,"1,000","10,000",High,100,0.44,3.46,,,,,,,,,,,,,,,,,
rv solar panels,USD,N/A,"10,000","100,000",High,100,0.3,2.01,,,,,,,,,,,,,,,,,
best solar panels,USD,N/A,"1,000","10,000",High,100,2.37,8.79,,,,,,,,,,,,,,,,,
sunpower solar panels,USD,N/A,"1,000","10,000",High,100,3.32,13.03,,,,,,,,,,,,,,,,,
photovoltaic cell,USD,N/A,"1,000","10,000",Medium,36,2,14.19,,,,,,,,,,,,,,,,,
flexible solar panels,USD,N/A,"1,000","10,000",High,100,0.61,5.5,,,,,,,,,,,,,,,,,
delta g,USD,N/A,"1,000","10,000",Low,0,,,,,,,,,,,,,,,,,,,
solar panel system,USD,N/A,"1,000","10,000",High,100,2.21,8.86,,,,,,,,,,,,,,,,,
solar companies,USD,N/A,"1,000","10,000",Medium,38,3.95,20.84,,,,,,,,,,,,,,,,,
solar powered fan,USD,N/A,"1,000","10,000",High,100,0.23,4.6,,,,,,,,,,,,,,,,,
solar providers near me,USD,N/A,"1,000","10,000",Medium,37,4.18,18.9,,,,,,,,,,,,,,,,,
100 watt solar panel,USD,N/A,"1,000","10,000",High,100,0.29,5.5,,,,,,,,,,,,,,,,,
solar installers near me,USD,N/A,"1,000","10,000",Medium,43,4.97,23.08,,,,,,,,,,,,,,,,,
solar installation,USD,N/A,"1,000","10,000",Low,33,5,23.07,,,,,,,,,,,,,,,,,
off grid solar system,USD,N/A,"1,000","10,000",High,100,0.72,4.41,,,,,,,,,,,,,,,,,
solar companies near me,USD,N/A,"1,000","10,000",Low,29,5.97,24.5,,,,,,,,,,,,,,,,,
lg solar panels,USD,N/A,"1,000","10,000",High,100,2.39,9.1,,,,,,,,,,,,,,,,,
