Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"easter outfits",301000,40500,135000,1220000,2240000,590,260,320,320,390,390,480,880,-98,0.86,70
"fashion jewelry",40500,60500,40500,40500,33100,33100,33100,33100,33100,27100,33100,49500,49500,-18,1.69,100
"home computer desks",22200,40500,22200,22200,18100,22200,27100,33100,14800,12100,9900,18100,22200,-45,2.10,100
"get a loan with bad credit",22200,18100,12100,14800,14800,22200,18100,22200,22200,27100,40500,27100,33100,83,4.39,93
"striped sweater",18100,18100,12100,9900,6600,5400,5400,8100,12100,22200,40500,33100,27100,50,1.58,100
"fleece leggings",18100,33100,12100,6600,1900,1900,1600,2400,5400,8100,40500,90500,40500,22,1.80,100
"2019 lexus es 350",14800,12100,12100,14800,12100,14800,14800,18100,18100,14800,14800,12100,9900,-18,6.76,38
"best debt consolidation loans",14800,12100,12100,12100,12100,14800,14800,22200,22200,14800,18100,18100,18100,50,15.05,97
"2014 infiniti q50",14800,14800,14800,14800,12100,14800,12100,12100,14800,14800,14800,12100,12100,-18,2.21,24
"minnie mouse dress",14800,18100,14800,18100,12100,12100,12100,14800,18100,18100,18100,22200,18100,0,0.66,100
"womens fashion sneakers",14800,14800,14800,18100,18100,14800,12100,12100,12100,12100,14800,14800,14800,0,1.83,100
"high waisted jean shorts",14800,9900,14800,22200,22200,22200,27100,22200,14800,8100,5400,2900,4400,-56,1.35,100
"boys rain jacket",14800,14800,14800,14800,18100,14800,12100,12100,18100,18100,22200,18100,18100,22,1.44,100
"tiered dress",14800,4400,4400,6600,8100,9900,27100,74000,18100,9900,5400,5400,4400,0,1.29,100
"gray dress",14800,12100,12100,14800,18100,14800,14800,18100,14800,14800,14800,12100,9900,-18,0.91,100
"chino shorts",12100,4400,6600,12100,14800,33100,22200,18100,14800,8100,5400,3600,4400,0,1.91,100
"competitor analysis",12100,9900,12100,14800,14800,12100,9900,9900,9900,14800,14800,14800,12100,22,10.49,25
"athletic wear",12100,14800,12100,12100,12100,9900,9900,12100,12100,9900,12100,12100,12100,-18,3.26,100
"cute casual outfits",12100,12100,14800,14800,12100,12100,9900,9900,12100,12100,9900,8100,8100,-33,0.72,73
"state farm b2b",12100,9900,8100,9900,12100,9900,12100,12100,14800,12100,9900,9900,12100,22,14.34,8
"winter wedding guest dresses",12100,18100,8100,3600,1900,1900,2400,4400,6600,12100,22200,40500,27100,50,1.53,100
"chinchilla coat",12100,18100,14800,12100,8100,6600,6600,6600,6600,12100,12100,18100,33100,83,0.61,100
"white l shaped desk",12100,14800,9900,9900,9900,9900,9900,14800,14800,12100,12100,12100,12100,-18,1.49,100
"2012 volkswagen jetta",12100,9900,12100,14800,12100,12100,12100,14800,14800,12100,12100,12100,9900,0,1.48,11
"trouser pants",12100,3600,2900,14800,8100,8100,6600,8100,9900,14800,22200,22200,18100,403,1.71,100
"white bridesmaid dresses",12100,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,8100,-45,1.28,100
"honda beat",12100,9900,9900,12100,14800,12100,12100,9900,12100,12100,12100,14800,12100,22,1.47,3
"bathroom remodel near me",12100,9900,12100,12100,12100,9900,9900,12100,12100,12100,12100,12100,9900,0,19.64,63
"red shorts",12100,5400,6600,9900,12100,14800,22200,18100,14800,14800,27100,5400,5400,0,1.26,100
"hoodie jacket",12100,14800,9900,9900,6600,8100,5400,6600,9900,9900,18100,22200,14800,0,1.56,100
"peasant dress",12100,9900,9900,12100,18100,14800,14800,14800,14800,14800,14800,8100,6600,-33,0.97,100
"ivory dress",12100,12100,12100,14800,12100,12100,9900,9900,9900,9900,9900,8100,6600,-45,1.14,100
"checkered pants",12100,14800,12100,12100,12100,9900,9900,9900,12100,12100,14800,14800,14800,0,1.06,100
"home filing cabinet",12100,110000,14800,2400,1600,1600,1600,2400,2900,2900,2900,2900,2400,-98,2.14,100
"house renovation",12100,6600,8100,8100,8100,9900,12100,12100,18100,18100,18100,14800,14800,124,8.01,40
"nsx for sale",12100,12100,12100,12100,12100,12100,9900,9900,12100,9900,12100,9900,9900,-18,0.74,53
"wedding party dresses",12100,12100,9900,12100,12100,14800,18100,12100,12100,12100,9900,6600,5400,-55,1.13,100
"low carb wraps",12100,22200,12100,12100,12100,9900,9900,12100,12100,9900,8100,6600,5400,-76,0.38,100
"american eagle shirts",12100,6600,6600,8100,9900,9900,9900,14800,14800,12100,9900,14800,14800,124,0.96,100
"pagerduty stock",12100,90,90,390,40500,18100,22200,12100,9900,12100,9900,6600,8100,8900,2.48,1
"hard money loans",12100,9900,9900,12100,12100,12100,9900,12100,12100,12100,12100,9900,9900,0,19.75,84
"black camaro",12100,12100,9900,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,-18,1.16,64
"carbs in brown rice",9900,14800,12100,12100,9900,9900,9900,9900,9900,9900,9900,8100,6600,-55,1.13,0
"vintage cars for sale",9900,6600,6600,12100,12100,12100,14800,12100,9900,8100,6600,8100,6600,0,0.93,90
"retailmenot papa johns",9900,9900,9900,9900,9900,9900,9900,8100,8100,8100,9900,9900,9900,0,0.45,1
"lowest mortgage rates",9900,8100,8100,9900,9900,8100,9900,9900,18100,12100,12100,8100,6600,-19,10.20,79
"leopard print shirt",9900,5400,5400,6600,6600,6600,5400,8100,9900,14800,22200,14800,9900,83,0.91,100
"mck stock",9900,8100,8100,9900,8100,12100,6600,9900,12100,8100,14800,12100,8100,0,0.48,0
"karmann ghia for sale",9900,9900,8100,9900,9900,8100,8100,9900,12100,8100,8100,8100,9900,0,0.21,100
"2011 nissan maxima",9900,12100,12100,12100,12100,12100,9900,12100,12100,9900,9900,9900,9900,-18,1.39,22
"aarp health insurance",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,14800,14800,9900,0,20.14,89
"two piece wedding dress",9900,14800,9900,9900,8100,8100,8100,8100,9900,8100,8100,6600,6600,-55,0.63,100
"southwest stock",9900,9900,14800,33100,14800,8100,5400,8100,5400,5400,6600,6600,5400,-45,6.75,0
"twitch stocks",9900,3600,60500,22200,6600,4400,4400,3600,6600,2900,3600,2900,2900,-19,1.90,4
"e marketing",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,6600,-33,8.25,3
"office desk chair",9900,18100,9900,9900,8100,8100,8100,9900,9900,9900,8100,9900,12100,-33,3.08,100
"honeywell stock price",9900,12100,12100,12100,12100,12100,9900,9900,9900,8100,9900,12100,9900,-18,2.31,0
"jean jumpsuit",9900,8100,8100,12100,12100,9900,8100,9900,8100,9900,9900,6600,6600,-19,0.97,100
"dolphin shorts",9900,8100,8100,9900,12100,12100,14800,14800,12100,9900,8100,6600,8100,0,0.64,100
"street style",9900,12100,12100,9900,9900,8100,8100,9900,9900,12100,9900,9900,9900,-18,0.67,65
