"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019"
"capital one stock",15200,"United States",3.87,1,43,"","","","","","","","",3600,4400,6600,6600,5400,5400,5400,8100,8100,5400,5400,6600,9900,8100,8100,8100,9900,6600,6600,6600,8100,6600,8100,8100,9900,9900,12100,9900,8100,8100,8100,6600,12100,9900,8100,9900,8100,9900,14800,9900,9900,12100,9900,8100,49500,22200,9900,12100,12100,12100
"lexus dealership",80800,"United States",5.21,23,50,"","","","","","","","",33100,33100,33100,33100,40500,40500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,74000,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,90500,74000,90500,74000,90500,90500,74000,90500,74000,74000
"home improvement loans",25100,"United States",17.91,91,51,"","","","","","","18100","18100",14800,14800,18100,22200,27100,27100,27100,27100,22200,22200,22200,22200,18100,14800,22200,22200,27100,27100,27100,27100,27100,22200,22200,18100,18100,14800,22200,22200,27100,33100,33100,27100,27100,27100,22200,22200,18100,14800,22200,22200,33100,33100,33100,27100,27100,27100,22200,22200,18100,14800
"cheap plus size clothing",19100,"United States",1.19,100,43,"","","","","","","27100","27100",22200,22200,27100,33100,27100,27100,27100,22200,18100,22200,27100,27100,22200,18100,22200,27100,40500,33100,27100,27100,27100,27100,22200,22200,22200,18100,22200,27100,27100,27100,27100,22200,22200,22200,22200,22200,18100,14800,18100,22200,27100,22200,22200,18100,18100,18100,18100,18100,14800,12100
"rave clothing",27300,"United States",0.92,100,35,"","","","","","14800","18100","14800",12100,12100,14800,18100,18100,18100,22200,18100,14800,14800,18100,22200,18100,18100,18100,18100,22200,18100,22200,18100,14800,18100,18100,22200,14800,14800,22200,22200,27100,27100,27100,18100,22200,22200,22200,27100,18100,18100,27100,27100,33100,33100,27100,22200,27100,27100,33100,27100,22200,22200
"jwn stock",15600,"United States",,0,,"","","","","","1900","1000","2400",6600,2400,2400,4400,2400,2400,8100,3600,2900,8100,2900,2900,5400,4400,4400,9900,5400,3600,12100,8100,2400,,,,,,,,,2900,9900,3600,4400,18100,8100,5400,12100,4400,8100,8100,6600,6600,22200,9900,18100,40500,18100,14800,22200,12100
"anthropologie wedding dresses",12000,"United States",0.34,100,32,"","","","","","","","",,,4400,5400,5400,5400,6600,6600,6600,5400,5400,6600,9900,8100,9900,6600,8100,8100,8100,9900,9900,8100,8100,9900,12100,12100,14800,12100,12100,9900,9900,9900,12100,12100,12100,12100,12100,12100,18100,14800,12100,9900,9900,12100,12100,12100,12100,12100,9900,9900
"baby dress",23500,"United States",0.86,100,40,"","","","","","","2400","1964",2400,2400,2936,2936,2936,2400,2400,2400,12100,14800,22200,27100,27100,22200,33100,27100,27100,27100,22200,18100,22200,27100,27100,27100,27100,22200,33100,27100,27100,22200,18100,18100,18100,22200,27100,27100,22200,18100,33100,27100,27100,22200,18100,14800,18100,22200,27100,27100,27100,18100
"plus size stores",14400,"United States",1.5,100,40,"","","","","","","12100","12100",12100,14800,12100,14800,14800,14800,18100,18100,14800,12100,14800,14800,14800,14800,12100,12100,18100,18100,14800,14800,14800,14800,14800,12100,14800,14800,14800,14800,18100,14800,18100,18100,18100,14800,14800,14800,14800,14800,12100,12100,18100,14800,14800,14800,14800,14800,14800,14800,12100,14800
"polo jackets",32100,"United States",0.75,100,40,"","","","","","","","22200",27100,40500,27100,18100,14800,12100,9900,8100,12100,18100,22200,40500,49500,60500,27100,22200,18100,12100,9900,8100,12100,18100,18100,33100,40500,49500,27100,22200,18100,14800,8100,8100,14800,18100,22200,40500,60500,60500,33100,22200,22200,14800,12100,12100,18100,27100,27100,49500,74000,74000
