"keywords","volume","bid","competition","words","rank_value","avg_kc","language","location"
"1400 calorie diet plan","170","$3.19","Low","4","$3.2","37","en","us"
"1500 calorie keto meal plan","260","$0.74","High","5","$1.2","30","en","us"
"24 hour legal advice family law","260","$17.07","High","6","$4.9","28","en","us"
"360 watt solar panel","210","$1.00","High","4","$1.3","32","en","us"
"7 day food planner","170","$0.55","High","4","$0.6","38","en","us"
"adrianna papell plus size","880","$0.81","High","4","$4.5","41","en","us"
"aecom construction","390","$0.45","Low","2","$1.1","44","en","us"
"aeron desk chair","260","$6.46","High","3","$4.9","48","en","us"
"affordable ski vacation packages","140","$2.89","High","4","$2.5","38","en","us"
"airport parking discount code","140","$2.55","Medium","4","$2.2","38","en","us"
"aleanas bridal","390","$2.77","Low","2","$6.7","34","en","us"
"all inclusive bachelorette party destinations","260","$1.92","Low","5","$3.1","32","en","us"
"ankle length cocktail dresses","110","$0.43","High","4","$0.3","29","en","us"
"apartment renovation cost","110","$3.88","Medium","3","$2.1","26","en","us"
"atkins weight loss","590","$2.61","Medium","3","$9.6","49","en","us"
"average master bathroom remodel cost","390","$4.44","Medium","5","$7.3","42","en","us"
"azalea bushes for sale","320","$0.75","High","4","$1.5","33","en","us"
"bare root roses for sale near me","170","$0.66","High","7","$0.7","35","en","us"
"bathtub and shower remodel","210","$9.02","High","4","$3.9","44","en","us"
"best all inclusive resorts adults only 2018","590","$2.79","Medium","7","$10.3","45","en","us"
"best commercial backpack leaf blower","390","$0.85","High","5","$2.1","24","en","us"
"best construction","390","$7.19","Low","2","$7.3","32","en","us"
"best diet plan to lose belly fat","110","$1.84","High","7","$1.3","43","en","us"
"best last minute flights","210","$1.37","Medium","4","$1.8","44","en","us"
"best leaf blowers 2019","260","$0.61","High","4","$1.0","39","en","us"
"best office copiers","170","$5.50","High","3","$3.2","35","en","us"
"betsy and adam cocktail dresses","390","$1.37","High","5","$3.3","35","en","us"
"boho veil","260","$0.33","High","2","$0.5","40","en","us"
"bridal shower cakes near me","260","$0.76","High","5","$1.2","40","en","us"
"budget friendly beach vacations","170","$1.99","Low","4","$2.1","37","en","us"
"budget office chair","210","$2.30","High","3","$3.0","39","en","us"
"business travel agency","390","$49.63","Medium","3","$7.3","29","en","us"
"cake made of cheese","210","$2.31","Low","4","$3.0","44","en","us"
"car technician","480","$17.65","Medium","2","$9.0","41","en","us"
"carb free tortillas","1000","$0.45","High","3","$2.8","31","en","us"
"charlotte russe cocktail dresses","90","$0.83","High","4","$0.5","38","en","us"
"cheap domain transfer","260","$9.34","Medium","3","$4.9","48","en","us"
"cheap reception desk","590","$1.80","High","3","$6.6","38","en","us"
"cheap vacations for couples all inclusive","590","$1.86","High","6","$6.9","40","en","us"
"civic engine","390","$0.29","High","2","$0.7","34","en","us"
"climbing roses for sale","880","$0.73","High","4","$4.0","41","en","us"
"cocktail and evening dresses","140","$1.48","High","4","$1.3","44","en","us"
"cocomelody bridesmaid dresses","210","$0.61","High","3","$0.8","24","en","us"
"commonwealth advisors","170","$4.67","Low","2","$3.2","36","en","us"
"computer and printer desk","590","$0.99","High","4","$3.7","41","en","us"
"content strategy plan","140","$7.24","Medium","3","$2.6","44","en","us"
"custom renovations","210","$8.12","Low","2","$3.9","33","en","us"
"cut above landscaping","320","$4.25","Low","3","$6.0","25","en","us"
"cute stationery supplies","110","$0.38","High","3","$0.3","29","en","us"
"cutting meal plan male","170","$4.24","Low","4","$3.2","37","en","us"
"cvs wedding invitations","390","$2.24","High","3","$5.5","46","en","us"
"dealer mitsubishi","480","$5.11","Low","2","$9.0","31","en","us"
"dennis basso bridal","590","$0.52","High","3","$1.9","34","en","us"
"designer red cocktail dress","140","$1.31","High","4","$1.2","36","en","us"
"diet plan for teenage girl","260","$2.31","Medium","5","$3.8","37","en","us"
"diy solar energy","320","$1.06","High","3","$2.1","40","en","us"
"double workstation desk","880","$1.22","High","3","$6.7","39","en","us"
"dump cart harbor freight","480","$0.80","High","4","$2.4","39","en","us"
"dynascape design","170","$3.46","Low","2","$3.2","37","en","us"
"ecommerce digital marketing","320","$21.58","Medium","3","$6.0","41","en","us"
"excavation construction","720","$4.40","High","2","$13.5","36","en","us"
"extended plus size clothing","720","$1.14","High","4","$5.1","28","en","us"
"flowering trees for sale","390","$0.56","High","4","$1.4","36","en","us"
"ford ecosport for sale","590","$5.35","Medium","4","$11.1","43","en","us"
"ford taurus sho engine","720","$0.27","High","4","$1.2","46","en","us"
"free attorney consultation near me","720","$7.90","High","5","$13.5","37","en","us"
"free black dating sites","880","$2.08","High","4","$11.4","39","en","us"
"free dating sight","140","$2.25","High","3","$2.0","45","en","us"
"free international dating sites for marriage","390","$5.38","High","6","$7.3","31","en","us"
