"Icon";"Tag";"Niche";"Phrase";"Languages";"Countries";"Words";"Monthly Searches";"Top Results";"Visitors 1-3";"Top 1-3";"Visitors 4-7";"Top 4-7";"Visitors 8-10";"Top 8-10";"Title KW";"Domain KW";"URL KW";"MR Avg";"MR Max";"PA Avg";"PA Max";"DA Avg";"DA Max";"JL Avg";"JL Max";"RL Avg";"RL Max";"Domains";"CPC";"Competition";"Adsense Val";"Ads Top (BETA)";"Ads bottom (BETA)";"Images";"News";"Local/Maps";"Shopping";"Videos";"Exact Match Domain";"Amazon";"eBay";"YouTube";"Data Source";"Last changed";"MS flag [internal]"
"icon_ruby";"";"104";"installment loans near me";"en";"US";"4";"8100";"13";"120";"10";"27";"15";"3";"12";"0";"0";"0";"3.5";"4.2";"35";"42";"43";"58";"66";"243";"67";"187";"c-o-m net";"5.54";"0";"100";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-15 13:59";"0"
"";"";"86";"sage green bridesmaid dresses";"en";"US";"4";"8100";"15";"120";"20";"27";"10";"3";"18";"3";"0";"3";"3.2";"4.7";"32";"47";"49";"92";"1";"2";"2";"7";"com net";"1.89";"100";"61";"0";"0";"1";"";"";"";"";"";"";"";"";"";"2020-01-14 16:37";"0"
"";"";"81";"lifted trucks for sale near me";"en";"US";"6";"5400";"11";"80";"15";"18";"10";"2";"8";"1";"0";"0";"3.1";"5";"31";"50";"33";"74";"29";"86";"33";"105";"com net";"1.94";"84";"42";"0";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-14 19:16";"0"
"";"";"80";"online loans same day";"en";"US";"4";"5400";"11";"80";"8";"18";"12";"2";"13";"6";"0";"4";"3";"3.8";"30";"38";"40";"72";"91";"576";"31";"184";"com net";"5.19";"100";"100";"0";"1";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:53";"0"
"";"";"79";"motorcycle accident attorney";"en";"US";"3";"5400";"11";"80";"11";"18";"8";"2";"24";"3";"0";"2";"2.8";"3.6";"28";"36";"40";"59";"133";"1017";"12";"69";"check";"214.35";"12";"100";"4";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-09 16:41";"0"
"";"";"79";"raymond james investor access";"en";"US";"4";"9900";"20";"147";"37";"33";"8";"4";"0";"3";"0";"3";"3.1";"4.6";"31";"46";"36";"63";"12439";"55428";"115";"628";"c-o-m net";"9.16";"0";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-15 13:58";"0"
"";"";"76";"barbour jacket womens";"en";"US";"3";"8100";"17";"120";"11";"27";"20";"3";"22";"1";"0";"5";"3.9";"4.4";"39";"44";"75";"89";"4";"21";"6";"29";"com net";"1.04";"100";"34";"2";"1";"1";"";"";"1";"";"";"";"";"";"";"2020-01-15 13:59";"0"
"";"";"75";"motorcycle accident lawyer";"en";"US";"3";"8100";"18";"120";"14";"27";"22";"3";"9";"5";"0";"5";"3.1";"3.6";"31";"36";"44";"59";"133";"1017";"15";"69";"check";"218.84";"15";"100";"3";"0";"";"";"1";"";"";"";"";"";"";"";"2020-01-09 16:41";"0"
"";"";"75";"weeding tool";"en";"US";"2";"8100";"18";"120";"24";"27";"15";"3";"10";"2";"0";"7";"3.7";"5.3";"37";"53";"54";"96";"13";"84";"9";"16";"c-o-m net";"0.6";"100";"19";"0";"0";"1";"";"";"1";"";"";"1";"";"";"";"2020-01-15 13:52";"0"
"";"";"75";"greensky financing";"en";"US";"2";"9900";"21";"147";"16";"33";"22";"4";"26";"1";"0";"0";"3.9";"5.1";"39";"51";"56";"92";"703";"3797";"153";"935";"c-o-m net";"5.16";"0";"100";"0";"0";"";"";"";"";"";"";"";"";"";"";"2020-01-14 16:06";"0"
