1,Category,Keyword,SECockpit ,Google Keyword Planner,"Ahrefs - ""All keyword ideas"" ","Ahrefs - ""Phrase Match"" ","SEMrush - ""Broad Match""","SEMrush - ""Phrase Match""","Moz - ""include a mix of sources""","Ubersuggest - ""related""","KeywordTool.io - ""Keyword Suggestions""","Sixtrix - ""Word Group""","KWFinder - ""related keywords"""
1,Financial Services,finance,684,691,1269225,1233201,1201273,973555,1000,196562,1370,49974,429
1,Financial Services,investing,1209,2528,264668,255608,1209214,135075,1000,29295,1260,9016,457
1,Financial Services,loans,1785,936,1007861,994674,1851628,541163,1000,153308,1324,33873,543
1,Financial Services,insurance,2079,789,6588805,6522620,4109928,4003105,1000,823235,1354,50018,657
1,Financial Services,financial advisor,1736,695,74293,68696,59695,41971,1000,9373,1015,2977,598
1,Financial Services,"All 5 KW entered into search (1,2)",N/A,5446,9185755,9059496,N/A,N/A,N/A,N/A,N/A,100000,N/A
2,Diet,how to lose weight,2590,1648,92045,30342,45852,43474,1000,10055,1065,N/A,514
2,Diet,low carb,2201,1378,319292,296019,188911,180554,1000,40634,1211,6753,617
2,Diet,nutrition,2135,1025,1490264,1481436,1317219,1112682,1000,223859,1352,50054,578
2,Diet,diet plans,1495,1766,29129,6850,85786,4025,1000,1693,708,147,535
2,Diet,weight loss tips,1836,907,17659,2828,3865,3756,1000,1787,624,208,572
2,Diet,"All 5 KW entered into search (1,2)",N/A,6583,1922171,1815963,N/A,N/A,N/A,N/A,N/A,57132,N/A
3,Online Marketing,marketing,2045,284,2285404,2281425,5068178,1544835,1000,378278,1385,50012,581
3,Online Marketing,seo,2103,428,362649,351981,234768,229065,1000,77664,1400,14003,700
3,Online Marketing,digital marketing,2175,377,127183,106089,102613,96133,1000,30000,1107,9117,685
3,Online Marketing,affiliate marketing,455,1206,31233,25350,18828,17065,1000,6128,675,1495,620
3,Online Marketing,marketing plan,1033,543,54207,41784,44816,34153,1000,8840,988,2439,594
3,Online Marketing,"All 5 KW entered into search (1,2)",N/A,2795,2650453,2627207,N/A,N/A,N/A,N/A,N/A,70752,N/A
4,Women Fashion,dresses,3205,1545,1337414,1240915,4447697,767753,1000,293656,1359,48710,667
4,Women Fashion,clothes,3661,2336,2019714,1991817,2886463,1076138,1000,272112,1354,49243,276
4,Women Fashion,fashion,2349,1290,1856785,1805903,1386122,1224626,1000,310343,1353,50094,522
4,Women Fashion,cocktail dresses,2111,1600,39866,14936,34840,13029,1000,4216,788,916,634
4,Women Fashion,plus size dresses,2849,1884,100985,9935,60499,27851,1000,2520,846,2910,501
4,Women Fashion,"All 5 KW entered into search (1,2)",N/A,7764,5197382,5019643,N/A,N/A,N/A,N/A,N/A,100000,N/A
5,Home Improvement,construction,,369,2474705,2471944,1964290,1782879,1000,292258,1384,50173,363
5,Home Improvement,renovation,,369,136107,133467,166948,96176,1000,21632,1286,6060,542
5,Home Improvement,bathroom remodel,1378,677,25836,15058,20392,12416,1000,3241,724,877,461
5,Home Improvement,kitchen remodel,945,653,30068,15710,21215,12296,1000,3358,692,896,484
5,Home Improvement,general contractor,860,451,50817,47254,42249,23039,1000,4261,1004,1534,679
5,Home Improvement,"All 5 KW entered into search (1,2)",N/A,2372,2712256,2680480,N/A,N/A,N/A,N/A,N/A,59496,N/A
